pilot_query_id,family_id,source_id,execution_status,raw_result_count,exported_record_count,accessible_record_count,blocked_record_count,malformed_record_count,duplicate_within_source_count
PQ-C2-SRC-01-01,C2,SRC-01,BLOCKED_CREDENTIALS,0,0,0,0,0,0
PQ-C4-SRC-01-01,C4,SRC-01,BLOCKED_CREDENTIALS,0,0,0,0,0,0
PQ-C5-SRC-01-01,C5,SRC-01,BLOCKED_CREDENTIALS,0,0,0,0,0,0
PQ-C6-SRC-01-01,C6,SRC-01,BLOCKED_CREDENTIALS,0,0,0,0,0,0
PQ-C2-SRC-02-01,C2,SRC-02,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0
PQ-C4-SRC-02-01,C4,SRC-02,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0
PQ-C5-SRC-02-01,C5,SRC-02,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0
PQ-C6-SRC-02-01,C6,SRC-02,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0
PQ-C1-SRC-03-01,C1,SRC-03,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C2-SRC-03-01,C2,SRC-03,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C3-SRC-03-01,C3,SRC-03,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C6-SRC-03-01,C6,SRC-03,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C1-SRC-04-01,C1,SRC-04,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C2-SRC-04-01,C2,SRC-04,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C3-SRC-04-01,C3,SRC-04,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C2-SRC-05-01,C2,SRC-05,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C4-SRC-05-01,C4,SRC-05,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C4-SRC-06-01,C4,SRC-06,EXECUTED_SUCCESS,372,5,5,0,0,0
PQ-C5-SRC-06-01,C5,SRC-06,EXECUTED_SUCCESS,22,10,10,0,0,0
PQ-C6-SRC-06-01,C6,SRC-06,EXECUTED_SUCCESS,3,3,3,0,0,0
PQ-C3-SRC-07-01,C3,SRC-07,QUERY_REQUIRES_AMENDMENT,24756,10,10,0,0,0
PQ-C6-SRC-07-01,C6,SRC-07,QUERY_REQUIRES_AMENDMENT,24756,10,10,0,0,0
PQ-C1-SRC-08-01,C1,SRC-08,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C2-SRC-08-01,C2,SRC-08,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C3-SRC-08-01,C3,SRC-08,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C3-SRC-10-01,C3,SRC-10,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C6-SRC-10-01,C6,SRC-10,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0
PQ-C1-SRC-12-01,C1,SRC-12,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0
PQ-C2-SRC-12-01,C2,SRC-12,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0
PQ-C3-SRC-12-01,C3,SRC-12,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0
PQ-C4-SRC-12-01,C4,SRC-12,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0
PQ-C5-SRC-12-01,C5,SRC-12,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0
PQ-C6-SRC-12-01,C6,SRC-12,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0
PQ-C2-SRC-13-01,C2,SRC-13,EXECUTED_SUCCESS,4525612,5,5,0,0,0
PQ-C4-SRC-13-01,C4,SRC-13,EXECUTED_SUCCESS,2039885,5,5,0,0,0
PQ-C5-SRC-13-01,C5,SRC-13,EXECUTED_SUCCESS,5496918,5,5,0,0,0
PQ-C6-SRC-13-01,C6,SRC-13,EXECUTED_SUCCESS,12355293,5,5,0,0,0
